"","Elevation (ft)","Live Storage (ac-ft)","Total Storage (ac-ft)","Area (acres)","EvapVolMax","EvapVolMaxUp","EvapVolMaxLo","EvapVolMin"
"1",895,0,2035000,30172.0000001,181032.0000006,193100.80000064,165946.00000055,NA
"2",895.5,15111,2050111,30270,181620,193728,166485,NA
"3",896,30270,2065270,30367.9999999,182207.9999994,194355.19999936,167023.99999945,NA
"4",896.5,45479,2080479,30466,182796,194982.4,167563,NA
"5",897,60736,2095736,30563.9999999,183383.9999994,195609.59999936,168101.99999945,NA
"6",897.5,76043,2111043,30662.0000001,183972.0000006,196236.80000064,168641.00000055,NA
"7",898,91397.9999999,2126397.9999999,30760,184560,196864,169180,NA
"8",898.5,106803,2141803,30857.9999999,185147.9999994,197491.19999936,169718.99999945,NA
"9",899,122257,2157257,30956,185736,198118.4,170258,NA
"10",899.5,137759,2172759,31053.9999999,186323.9999994,198745.59999936,170796.99999945,NA
"11",900,153311,2188311,31152.0000001,186912.0000006,199372.80000064,171336.00000055,NA
"12",900.5,168917,2203917,31273.0000001,187638.0000006,200147.20000064,172001.50000055,NA
"13",901,184584,2219584,31394,188364,200921.6,172667,184584
"14",901.5,200311,2235311,31514.0000001,189084.0000006,201689.60000064,173327.00000055,185200
"15",902,216098,2251098,31635.0000001,189810.0000006,202464.00000064,173992.50000055,185828
"16",902.5,231946,2266946,31754.9999999,190529.9999994,203231.99999936,174652.49999945,186467
"17",903,247854,2282854,31875.9999999,191255.9999994,204006.39999936,175317.99999945,187118
"18",903.5,263822,2298822,31997.0000001,191982.0000006,204780.80000064,175983.50000055,187779
"19",904,279851,2314851,32116.9999999,192701.9999994,205548.79999936,176643.49999945,188453.0000001
"20",904.5,295939,2330939,32237.9999999,193427.9999994,206323.19999936,177308.99999945,189136
"21",905,312088,2347088,32358.9999999,194153.9999994,207097.59999936,177974.49999945,189831
"22",905.5,328298,2363298,32479,194874,207865.6,178634.5,190539
"23",906,344568,2379568,32599.9999999,195599.9999994,208639.99999936,179299.99999945,191257
"24",906.5,360898,2395898,32720,196320,209408,179960,191981
"25",907,377288,2412288,32841,197046,210182.4,180625.5,192704
"26",907.5,393739,2428739,32962,197772,210956.8,181291,193428
"27",908,410250,2445250,33082,198492,211724.8,181951,194152
"28",908.5,426821,2461821,33203,199218,212499.2,182616.5,194875
"29",909,443452,2478452,33323.0000001,199938.0000006,213267.20000064,183276.50000055,195598
"30",909.5,460144,2495144,33444.0000001,200664.0000006,214041.60000064,183942.00000055,196322
"31",910,476896,2511896,33565,201390,214816,184607.5,197045
"32",910.5,493708,2528708,33683.0000001,202098.0000006,215571.20000064,185256.50000055,197769
"33",911,510579,2545579,33800,202800,216320,185900,198491
"34",911.5,527509,2562509,33918,203508,217075.2,186549,199211
"35",912,544497,2579497,34036,204216,217830.4,187198,199929
"36",912.5,561545,2596545,34154.0000001,204924.0000006,218585.60000064,187847.00000055,200647
"37",913,578651,2613651,34271.9999999,205631.9999994,219340.79999936,188495.99999945,201363
"38",913.5,595817,2630817,34389.9999999,206339.9999994,220095.99999936,189144.99999945,202078
"39",914,613041,2648041,34508,207048,220851.2,189794,202791
"40",914.5,630324,2665324,34626,207756,221606.4,190443,203503
"41",915,647667,2682667,34742.9999999,208457.9999994,222355.19999936,191086.49999945,204215
"42",915.5,665068,2700068,34860.9999999,209165.9999994,223110.39999936,191735.49999945,204924
"43",916,682528,2717528,34979,209874,223865.6,192384.5,205632
"44",916.5,700047,2735047,35097,210582,224620.8,193033.5,206339
"45",917,717625,2752625,35215,211290,225376,193682.5,207046
